,p,q,AIC,BIC
0,0.0,1.0,-29523.76621003645,-29472.516674812785
1,0.0,2.0,-29300.941686374696,-29226.914579940512
2,0.0,3.0,-29650.740524286393,-29553.935846641692
3,1.0,0.0,-29469.527282164294,-29418.27774694063
4,1.0,1.0,-29478.94916692168,-29404.922060487497
5,1.0,2.0,-29572.472928915864,-29475.668251271163
6,1.0,3.0,-29638.3733470816,-29518.791098226382
7,2.0,0.0,-29552.925718102684,-29478.8986116685
8,2.0,1.0,-29547.614459355398,-29450.809781710697
9,2.0,2.0,-29555.039170623713,-29435.456921768495
10,2.0,3.0,-29620.44037146194,-29478.080551396204
11,3.0,0.0,-29613.303942859748,-29516.499265215047
12,3.0,1.0,-29605.90718845022,-29486.324939595
13,3.0,2.0,-29603.05015235576,-29460.690332290025
14,3.0,3.0,-29609.101133041775,-29443.96374176552
